iter	Passed	Remaining
0	157	157531
1	162	81071
2	171	56998
3	177	44238
4	188	37479
5	193	31994
6	199	28304
7	204	25302
8	211	23307
9	216	21460
10	225	20277
11	230	18945
12	234	17808
13	240	16944
14	244	16059
15	249	15345
16	253	14685
17	261	14277
18	265	13730
19	270	13276
20	276	12872
21	281	12502
22	289	12300
23	296	12054
24	305	11899
25	309	11608
26	318	11483
27	325	11289
28	330	11059
29	335	10846
30	339	10625
31	348	10547
32	353	10356
33	357	10160
34	363	10014
35	367	9837
36	375	9764
37	379	9605
38	383	9449
39	390	9377
40	395	9261
41	404	9225
42	410	9137
43	415	9031
44	421	8936
45	423	8789
46	426	8646
47	430	8546
48	432	8403
49	435	8270
50	437	8139
51	439	8010
52	441	7886
53	444	7780
54	447	7689
55	449	7579
56	451	7471
57	453	7370
58	455	7271
59	457	7174
60	462	7117
61	465	7036
62	467	6951
63	469	6872
64	472	6790
65	476	6745
66	479	6670
67	481	6595
68	483	6519
69	485	6445
70	487	6377
71	491	6332
72	493	6265
73	495	6198
74	497	6134
75	499	6073
76	501	6015
77	504	5961
78	507	5916
79	509	5860
80	511	5805
81	513	5751
82	514	5687
83	517	5638
84	521	5611
85	523	5561
86	525	5513
87	527	5467
88	529	5422
89	531	5376
90	535	5350
91	537	5307
92	539	5263
93	541	5221
94	544	5182
95	546	5144
96	548	5110
97	551	5080
98	554	5044
99	556	5012
100	560	4984
101	562	4949
102	566	4931
103	568	4895
104	571	4867
105	573	4836
106	575	4806
107	579	4785
108	581	4754
109	583	4723
110	585	4692
111	587	4661
112	590	4631
113	591	4600
114	594	4577
115	596	4545
116	597	4510
117	599	4479
118	600	4448
119	602	4418
120	604	4389
121	605	4358
122	608	4340
123	610	4312
124	612	4288
125	614	4262
126	615	4233
127	617	4205
128	618	4178
129	620	4151
130	622	4130
131	624	4107
132	626	4080
133	627	4054
134	628	4028
135	630	4003
136	631	3978
137	633	3954
138	634	3929
139	635	3905
140	637	3884
141	638	3858
142	640	3835
143	641	3812
144	642	3790
145	644	3768
146	645	3746
147	647	3725
148	648	3703
149	651	3691
150	655	3684
151	657	3666
152	659	3649
153	660	3629
154	662	3609
155	663	3590
156	667	3584
157	669	3565
158	671	3549
159	672	3532
160	674	3513
161	676	3497
162	678	3482
163	681	3475
164	683	3458
165	685	3442
166	686	3425
167	688	3408
168	689	3392
169	691	3376
170	693	3361
171	697	3355
172	698	3339
173	700	3323
174	701	3307
175	702	3291
176	704	3275
177	705	3259
178	707	3245
179	710	3235
180	712	3223
181	713	3209
182	715	3194
183	716	3179
184	718	3163
185	719	3149
186	721	3135
187	722	3121
188	725	3112
189	727	3099
190	728	3085
191	730	3072
192	731	3058
193	732	3044
194	734	3030
195	736	3019
196	737	3005
197	740	2997
198	741	2985
199	743	2973
200	744	2961
201	746	2950
202	748	2938
203	750	2929
204	752	2918
205	755	2912
206	757	2900
207	758	2888
208	760	2876
209	761	2864
210	763	2854
211	765	2844
212	766	2832
213	768	2822
214	770	2814
215	772	2803
216	773	2792
217	775	2780
218	776	2770
219	778	2760
220	780	2749
221	781	2738
222	784	2733
223	785	2722
224	787	2712
225	788	2701
226	790	2691
227	791	2680
228	793	2670
229	794	2660
230	795	2649
231	797	2641
232	800	2634
233	801	2623
234	803	2614
235	804	2605
236	806	2595
237	807	2585
238	808	2575
239	810	2566
240	811	2556
241	814	2550
242	815	2541
243	817	2532
244	819	2523
245	820	2515
246	822	2506
247	823	2496
248	824	2487
249	826	2478
250	829	2474
251	830	2465
252	832	2456
253	833	2447
254	834	2438
255	836	2430
256	837	2421
257	838	2412
258	840	2404
259	842	2396
260	844	2391
261	846	2385
262	848	2377
263	850	2370
264	851	2362
265	853	2354
266	854	2346
267	856	2338
268	859	2335
269	860	2327
270	862	2319
271	863	2312
272	865	2304
273	866	2296
274	868	2289
275	869	2281
276	872	2277
277	874	2270
278	875	2262
279	876	2255
280	878	2247
281	879	2240
282	881	2232
283	882	2224
284	883	2217
285	885	2209
286	888	2206
287	889	2200
288	891	2193
289	893	2186
290	894	2179
291	895	2172
292	897	2165
293	898	2157
294	899	2150
295	902	2147
296	904	2140
297	905	2133
298	907	2126
299	908	2119
300	909	2112
301	911	2105
302	912	2098
303	913	2092
304	916	2087
305	918	2082
306	919	2075
307	921	2069
308	922	2062
309	923	2056
310	925	2049
311	926	2043
312	928	2037
313	930	2031
314	932	2027
315	933	2021
316	935	2015
317	937	2009
318	938	2003
319	939	1997
320	941	1991
321	942	1985
322	944	1980
323	946	1975
324	948	1969
325	949	1963
326	951	1957
327	952	1951
328	954	1946
329	955	1940
330	956	1933
331	958	1927
332	961	1925
333	962	1919
334	963	1913
335	965	1907
336	966	1901
337	968	1896
338	969	1890
339	971	1885
340	972	1879
341	975	1877
342	976	1871
343	978	1865
344	979	1860
345	981	1854
346	982	1849
347	983	1843
348	985	1837
349	986	1832
350	987	1826
351	990	1823
352	992	1818
353	993	1812
354	994	1807
355	996	1802
356	997	1796
357	998	1791
358	1000	1786
359	1001	1780
360	1003	1776
361	1005	1772
362	1007	1767
363	1008	1762
364	1010	1758
365	1012	1754
366	1014	1749
367	1015	1744
368	1017	1739
369	1020	1737
370	1021	1732
371	1023	1727
372	1024	1722
373	1026	1717
374	1027	1712
375	1029	1707
376	1030	1702
377	1031	1697
378	1034	1694
379	1035	1690
380	1037	1685
381	1039	1681
382	1041	1677
383	1042	1672
384	1044	1667
385	1045	1662
386	1046	1658
387	1049	1655
388	1051	1651
389	1053	1647
390	1054	1642
391	1055	1637
392	1057	1633
393	1058	1628
394	1060	1623
395	1061	1619
396	1064	1617
397	1066	1612
398	1067	1607
399	1068	1603
400	1070	1598
401	1071	1594
402	1073	1589
403	1074	1584
404	1075	1580
405	1076	1575
406	1079	1572
407	1080	1567
408	1081	1563
409	1083	1559
410	1084	1554
411	1086	1550
412	1087	1545
413	1088	1541
414	1090	1536
415	1092	1533
416	1094	1530
417	1096	1526
418	1097	1522
419	1099	1517
420	1100	1513
421	1101	1509
422	1103	1504
423	1104	1500
424	1106	1497
425	1108	1493
426	1109	1489
427	1111	1485
428	1112	1480
429	1114	1476
430	1115	1472
431	1116	1468
432	1118	1464
433	1119	1459
434	1122	1457
435	1124	1453
436	1125	1450
437	1127	1446
438	1129	1442
439	1130	1438
440	1131	1434
441	1133	1430
442	1135	1427
443	1137	1424
444	1139	1420
445	1140	1416
446	1141	1412
447	1143	1408
448	1144	1404
449	1146	1401
450	1147	1397
451	1150	1395
452	1152	1391
453	1153	1387
454	1155	1383
455	1156	1379
456	1158	1376
457	1159	1372
458	1161	1368
459	1162	1364
460	1165	1362
461	1166	1358
462	1168	1355
463	1169	1351
464	1171	1347
465	1172	1343
466	1173	1339
467	1175	1336
468	1176	1332
469	1178	1329
470	1180	1326
471	1182	1322
472	1183	1318
473	1185	1315
474	1186	1311
475	1187	1307
476	1189	1304
477	1191	1300
478	1192	1297
479	1195	1294
480	1196	1291
481	1198	1287
482	1199	1284
483	1201	1280
484	1202	1276
485	1203	1273
486	1205	1269
